SqrtAGBgrowth,ecm_l_Richness,ecm_l_Abundance,pat_l_Richness,pat_l_Abundance,sap_l_Richness,sap_l_Abundance,ecm_r_Richness,ecm_r_Abundance,pat_r_Richness,pat_r_Abundance,sap_r_Richness,sap_r_Abundance,ecm_s_Richness,ecm_s_Abundance,pat_s_Richness,pat_s_Abundance,sap_s_Richness,sap_s_Abundance
45.51220023,56,1337,45,663,113,1416,10,517,0,0,38,5296,56,5171,9,18,62,626
48.93473955,0,0,52,1112,82,3457,14,1451,5,6,52,4133,23,1222,24,207,152,3392
77.76105338,3,17,36,151,85,556,13,259,1,1,42,5575,42,397,3,5,60,5308
80.99526019,43,392,41,355,161,1519,11,91,0,0,60,5728,70,2634,7,11,79,2937
54.2716312,1,1,27,765,70,2031,8,1183,3,4,42,4067,53,949,12,14,90,4500
80.23992316,5,9,76,1341,110,1680,22,1832,11,29,86,2962,33,126,15,44,83,5447
37.54592158,1,1,37,1561,87,404,13,3067,1,1,35,2799,44,1003,12,17,109,4466
50.77105359,0,0,39,244,69,2086,15,160,3,3,60,5629,50,2186,21,41,116,3019
15.47662238,40,375,45,405,100,3290,5,102,0,0,36,5712,45,4144,15,35,86,1426
55.57583693,1,2,32,211,77,921,7,24,1,1,42,5751,51,3581,10,14,95,1999
103.7352593,5,10,68,793,166,2057,36,671,24,408,59,3723,50,3107,10,14,101,2122
28.20962417,9,23,50,832,104,926,34,2477,7,34,40,444,71,1932,9,21,95,1715
22.13164334,1,1,50,489,80,1603,47,3549,5,54,32,235,54,4247,11,17,60,1489
0,50,998,40,453,151,2472,35,5348,6,16,21,90,54,1651,16,57,128,3004
43.42604843,8,16,27,112,87,5127,11,72,11,63,27,5477,26,1447,19,45,127,2130
74.84799796,31,167,3,7,30,5601,55,852,8,49,64,4151,61,1404,27,59,133,3319
61.29913125,22,174,25,145,86,1025,24,1075,8,20,34,2753,34,1224,21,47,106,4058
28.8627542,55,2018,20,118,98,2274,53,3103,12,108,46,672,40,5056,9,16,48,767
11.38681057,46,496,42,767,121,1651,17,83,9,86,61,5209,40,3421,17,149,125,763
57.4000878,2,2,56,599,82,391,67,3015,5,25,31,239,59,3565,8,9,57,1027
55.62153392,12,33,45,622,101,906,133,2742,9,65,44,296,30,2655,6,7,70,2978
28.14253175,5,5,63,494,64,353,44,2397,14,43,37,2820,42,501,18,37,134,4717
79.66702323,9,140,44,994,118,1373,72,3279,5,11,46,1063,40,1006,11,18,100,4545
36.38154806,11,31,54,274,93,982,59,2004,4,20,20,44,46,1851,6,13,42,2584
100.4954978,6,119,36,406,119,2026,47,4052,6,27,37,1495,40,1256,20,52,113,4159
210.5494289,6,6,14,46,34,5664,57,1340,10,631,63,2787,38,4850,12,37,62,803
27.69047993,5,7,42,2217,76,636,17,1773,8,29,50,1550,34,3197,7,11,83,1337
34.12277861,10,10,41,1407,105,1555,9,650,3,12,45,1169,27,3865,12,27,90,1469
50.21619534,11,15,35,513,91,2894,12,3096,2,4,44,1753,66,2053,16,25,109,2936
111.4428165,1,2,32,4002,64,261,45,721,10,48,64,1229,30,1372,9,15,85,2791
99.09469207,15,42,27,144,61,5009,58,2684,14,91,62,477,40,2041,16,33,111,3075
66.79374619,22,194,41,399,101,3684,37,1378,5,9,69,3032,17,2699,6,12,99,2620
62.22076661,1,1,48,1838,112,1047,28,2111,6,23,42,1439,32,2961,13,60,116,2044
42.46405966,4,5,42,753,93,938,30,1363,4,12,35,4024,36,1731,12,35,114,2584
65.41166621,29,64,29,306,94,595,26,3114,9,40,55,521,38,1907,13,28,119,3265
102.5986614,12,17,30,318,83,3130,36,900,6,13,60,1362,34,4633,5,10,75,996
94.67120232,4,5,31,2816,95,658,34,1193,2,8,18,40,18,4680,3,8,62,830
90.65125604,13,27,59,671,126,2115,33,1148,8,14,61,1081,52,3257,12,24,93,2100
0,65,741,40,335,107,1180,20,3870,4,6,54,695,23,5219,4,6,61,505
125.6497007,14,441,48,978,103,969,35,2141,4,9,60,878,42,2514,13,40,114,2213
123.9361291,19,41,49,710,123,1953,40,2238,9,18,66,797,45,737,20,46,122,4131
21.89595203,62,579,34,1903,106,844,41,1566,12,444,58,2078,27,2259,9,30,90,2297
42.89572882,10,18,46,508,102,4056,43,1146,22,211,57,3568,37,1824,22,103,129,2382
93.00743271,7,9,33,1488,53,563,40,412,8,44,41,1627,51,684,19,58,142,3718
87.57850878,7,8,34,192,87,1345,22,429,10,21,51,989,30,1596,9,17,98,1817
55.78543326,3,5,41,704,100,917,54,3676,2,196,28,338,44,1106,23,70,148,3023
65.52200153,5,21,37,482,92,2647,39,5241,2,2,18,71,60,976,8,17,112,3855
53.46796276,12,68,43,686,90,2046,47,3362,6,12,30,756,27,1560,4,5,104,2359
56.51263793,10,16,34,963,60,540,50,2500,10,43,50,917,29,1862,10,38,105,2338
50.14367031,2,3,38,329,84,2960,46,1181,5,15,36,737,25,662,4,7,82,4063
85.82718356,3,12,50,669,126,1331,15,1145,12,40,53,1273,15,3113,11,24,83,2346
72.13216604,5,6,36,2559,66,967,50,1316,5,5,41,496,40,834,18,80,128,3816
63.51325564,5,10,33,3284,42,210,32,844,4,6,29,320,58,483,14,62,132,4315
85.93990643,16,29,42,1453,109,954,55,1086,4,13,38,437,21,1413,6,26,78,2535
88.91659732,14,19,22,348,96,2606,28,1699,7,16,51,2240,65,1042,11,60,137,3566
51.85733627,2,3,63,1199,111,1689,22,5482,5,6,26,198,67,1721,21,57,147,2623
142.555879,15,24,54,2074,132,1362,38,772,7,9,48,784,71,1404,11,55,112,2709
82.66306476,10,11,29,327,77,2289,54,2543,10,48,80,859,74,2103,10,21,127,2517
136.4701354,8,12,51,1432,125,2143,53,4740,2,35,30,154,61,1379,11,75,142,2899
77.89244482,2,5,37,703,88,607,48,842,5,10,40,528,22,4436,10,25,76,1089
121.8150356,19,287,37,199,73,428,43,1502,2,7,60,1350,40,537,15,43,115,3471
81.08613288,10,15,40,754,103,3159,63,1532,4,108,38,1786,70,1983,14,29,142,2281
49.83023337,18,44,35,1256,117,2594,54,2557,8,62,51,988,59,906,17,40,144,4280
70.55803924,20,253,40,1641,89,526,57,1234,3,41,33,445,36,1411,6,14,87,3764
73.3057132,4,8,24,164,68,1501,54,2136,5,333,43,960,41,1468,12,47,102,3118
65.18800005,6,9,31,1609,99,574,61,3206,2,18,28,224,56,1047,22,72,139,3578
61.67493892,5,6,38,384,84,1143,34,432,9,31,142,2253,52,2049,19,34,99,3274
39.2304704,3,3,15,93,65,3979,30,4861,3,3,44,245,52,4695,10,27,67,921
93.95432128,11,47,48,1518,112,839,37,798,4,5,66,1593,26,1745,4,61,81,3213
32.73399045,9,12,26,110,92,4419,22,1571,5,11,56,3058,60,803,7,32,113,4608
68.44770539,14,31,31,571,106,1024,25,1094,7,26,51,624,59,3840,3,34,67,1716
80.04469193,11,58,59,1082,156,1144,53,4737,3,3,21,55,63,4345,4,4,48,1489
143.7534112,40,125,26,198,131,2008,102,1551,13,323,68,569,72,1204,20,388,174,2880
133.0271132,8,49,30,3116,80,522,54,5540,6,19,23,69,74,4543,4,190,49,1133
