gx,gy,plantCMP_Dim1,plantCMP_Dim2,altitude,convex,slope,GRA.EW,GRA.NS,aspect,ASP.EW,ASP.NS,stage,litterC,litterN,l.CN,litterP,rootC,rootN,r.CN,rootP,soilC,soilN,s.CN,s.NC,soilP,s.CP,soil.available.P,topoPC1,topoPC2,NutrPC1,NutrPC2,pH,Richness,H,simp,invsimp,J,LL,LW,LLWR,SLA,MH,N,P,LA,Fdisp,pd.obs.z,mpd.obs.z,mntd.obs.z,AM,EM,EM/AM,ErM,Nfix,Nfix.wAM.NM,wAM.NM,unknow,TotalBasalArea,logEMPerc,AMPerc,EMPerc,AGBgrowth,SqrtAGBgrowth,AGBgrowth_AM,SqrtAGBgrowth_AM,AGBgrowth_EM,SqrtAGBgrowth_EM,G_EM,G_AM,G,G_EM/AM,G_EMPerc,F_l_Richness,F_l_Chao1,F_l_ACE,F_l_ShannonE,F_l_Simpson,F_l_PielousE,F_l_Abundance,ascom_l_Richness,ascom_l_Chao1,ascom_l_ACE,ascom_l_ShannonE,ascom_l_Simpson,ascom_l_PielousE,ascom_l_Abundance,basid_l_Richness,basid_l_Chao1,basid_l_ACE,basid_l_ShannonE,basid_l_Simpson,basid_l_PielousE,basid_l_Abundance,ecm_l_Richness,ecm_l_Chao1,ecm_l_ACE,ecm_l_ShannonE,ecm_l_Simpson,ecm_l_PielousE,ecm_l_Abundance,pat_l_Richness,pat_l_Chao1,pat_l_ACE,pat_l_ShannonE,pat_l_Simpson,pat_l_PielousE,pat_l_Abundance,sap_l_Richness,sap_l_Chao1,sap_l_ACE,sap_l_ShannonE,sap_l_Simpson,sap_l_PielousE,sap_l_Abundance,F_r_Richness,F_r_Chao1,F_r_ACE,F_r_ShannonE,F_r_Simpson,F_r_PielousE,F_r_Abundance,ascom_r_Richness,ascom_r_Chao1,ascom_r_ACE,ascom_r_ShannonE,ascom_r_Simpson,ascom_r_PielousE,ascom_r_Abundance,basid_r_Richness,basid_r_Chao1,basid_r_ACE,basid_r_ShannonE,basid_r_Simpson,basid_r_PielousE,basid_r_Abundance,ecm_r_Richness,ecm_r_Chao1,ecm_r_ACE,ecm_r_ShannonE,ecm_r_Simpson,ecm_r_PielousE,ecm_r_Abundance,pat_r_Richness,pat_r_Chao1,pat_r_ACE,pat_r_ShannonE,pat_r_Simpson,pat_r_PielousE,pat_r_Abundance,sap_r_Richness,sap_r_Chao1,sap_r_ACE,sap_r_ShannonE,sap_r_Simpson,sap_r_PielousE,sap_r_Abundance,F_s_Richness,F_s_Chao1,F_s_ACE,F_s_ShannonE,F_s_Simpson,F_s_PielousE,F_s_Abundance,ascom_s_Richness,ascom_s_Chao1,ascom_s_ACE,ascom_s_ShannonE,ascom_s_Simpson,ascom_s_PielousE,ascom_s_Abundance,basid_s_Richness,basid_s_Chao1,basid_s_ACE,basid_s_ShannonE,basid_s_Simpson,basid_s_PielousE,basid_s_Abundance,ecm_s_Richness,ecm_s_Chao1,ecm_s_ACE,ecm_s_ShannonE,ecm_s_Simpson,ecm_s_PielousE,ecm_s_Abundance,pat_s_Richness,pat_s_Chao1,pat_s_ACE,pat_s_ShannonE,pat_s_Simpson,pat_s_PielousE,pat_s_Abundance,sap_s_Richness,sap_s_Chao1,sap_s_ACE,sap_s_ShannonE,sap_s_Simpson,sap_s_PielousE,sap_s_Abundance
229.3933983,109.3933983,-0.8051,-0.1668,73.5835,0.258510417,48.80685966,0.845432685,-0.768571624,132.2735597,0.739941617,-0.672671096,67.33787755,422.4,9.13,46.26506024,0.16,373.14,12.83,29.08339829,NA,129.37,5.76,22.46006944,0.04452346,0.14,924.0714286,2.76,0.4382,2.5939,1.7084,1.6992,3.8,2,0.636514168,0.444444444,1.8,0.918295834,100.9223333,41.85533333,2.430666667,69.00733333,5.666666667,0.947333333,0.0558,31.1754,0.012566667,0.861980537,1.211554205,1.32047157,2.204426928,0,0,971.880042,0,0,0,0,974.0844689,-6,0.002263076,0,2071.36037,45.51220023,1830.545723,42.78487727,93.57237041,9.673281264,0,0.718,5.2572,0,0,407,708.6666667,684.9684834,4.211055111,0.965572408,0.700813119,5976,279,557.1818182,521.6734421,3.859384746,0.955947767,0.685355994,4135,107,135.3333333,144.1722911,2.765986477,0.831531351,0.591929766,1665,56,77,81.488618,2.058010552,0.743711711,0.511262297,1337,45,76.66666667,77.84054761,2.170793905,0.796302742,0.570261722,663,113,158.8823529,155.0038799,3.082588288,0.874057383,0.652070108,1416,80,135.5,140.0292833,0.864433544,0.300886108,0.19726798,5976,33,60.2,62.68246104,2.548984556,0.860985854,0.729008735,197,20,33.75,46.83413333,0.797617815,0.304671324,0.266251368,559,10,15,19.7630854,0.449313507,0.189195964,0.195134377,517,0,0,NA,0,1,0,0,38,51,54.57205689,0.386986782,0.11772587,0.106385599,5296,195,330.0322581,336.5113002,1.844894283,0.613797224,0.349875676,5976,88,187.75,209.1337891,4.016225612,0.963641975,0.89701217,180,83,119.25,116.5838686,1.309204533,0.511201385,0.296277836,5295,56,73,72.39463588,1.165679081,0.487554976,0.289584407,5171,9,12.33333333,16.81587191,1.955983847,0.820987654,0.890206612,18,62,101,94.98307931,2.436873727,0.773979524,0.590451752,626
238,120,-1.4463,-0.0806,73.5835,0.258510417,48.80685966,0.845432685,-0.768571624,132.2735597,0.739941617,-0.672671096,67.33787755,418.71,12.73,32.89159466,0.31,435.09,10.94,39.77056673,0.41,45.66,2.38,19.18487395,0.052124398,0.17,268.5882353,3.93,0.4382,2.5939,0.6332,-2.046,3.93,3,1.039720771,0.625,2.666666667,0.94639463,80.9935,27.80175,2.979,87.18675,17.25,1.172075,0.0611,15.799175,0.051807672,0.228816905,-0.027436995,0.608797172,28.78343988,0,0,0,0,0,0,0,28.78343988,-6,1,0,2394.608735,48.93473955,1684.351939,41.04085695,710.2567954,26.65064343,0,3.6876,3.6876,0,0,236,336.125,355.3027175,2.958970705,0.837972091,0.541555965,5976,192,271.875,284.021988,2.683559419,0.809001909,0.510425446,5488,40,55,64.29985185,2.501458687,0.847859503,0.678108005,471,0,0,NA,0,1,0,0,52,58.11111111,60.64966336,2.737191567,0.886596838,0.69274177,1112,82,119.0588235,135.4308623,1.488884298,0.563708068,0.337866838,3457,125,207.5,208.4361064,2.053423571,0.708915313,0.425287933,5976,69,120,124.2124856,2.540029106,0.821634928,0.599897311,768,30,56,50.14788181,1.455130116,0.626011591,0.427828777,1558,14,14,14.3744856,1.204839086,0.571770413,0.45654146,1451,5,8,15,1.560710409,0.777777778,0.9697239,6,52,83.625,83.44648778,1.155169866,0.445286997,0.292356015,4133,338,495.5,492.216849,3.917292406,0.952905161,0.672722228,5976,209,326.3448276,313.3452775,4.116939451,0.967269673,0.770625584,1890,92,123.0588235,130.020805,2.550743428,0.87422488,0.564100551,2857,23,33.5,28.7373,1.201884867,0.573171614,0.383315926,1222,24,29.6,29.42457765,1.93761507,0.70792784,0.609686045,207,152,197.3703704,211.429037,3.202635477,0.916373883,0.637482413,3392
240,90,-1.6146,0.3094,63.08475,-0.433552083,40.28718952,-0.220379513,-0.818529007,195.0689039,-0.259980423,-0.965613887,91.09465587,465.51,10.8,43.10277778,0.14,464.96,15.13,30.73099802,0.45,33.58,1.78,18.86516854,0.053007743,0.21,159.9047619,9.02,-1.791,0.9388,0.7083,0.9227,3.51,7,1.945910149,0.857142857,7,1,104.4302857,38.763,2.832857143,121.3471429,10.21428571,1.4092,0.067442857,33.57378571,0.106900667,0.181677583,0.115680118,0.012840875,145.6053549,0,0,5.170207204,0,0,0,0,150.7755621,-6,0.965709249,0,6046.781422,77.76105338,6031.185408,77.66070698,15.59601367,3.94917886,0,15.0108,15.7852,0,0,282,399.0175439,434.2731746,2.902143378,0.836490204,0.514390496,5976,217,289.8571429,314.0660145,3.994259309,0.956017382,0.742441546,1834,58,98.625,103.7933153,1.503855114,0.665685535,0.370367251,4126,3,3,3,1.028394167,0.62283737,0.936084711,17,36,49.33333333,53.32627866,2.782710131,0.882417438,0.776530047,151,85,148.0769231,151.1292479,3.252139005,0.906753015,0.732026625,556,96,142.3125,147.8873475,1.354434388,0.462641732,0.296742127,5976,57,87.66666667,86.99399343,2.673256246,0.854423523,0.661197711,512,22,27.14285714,31.90375914,1.199998199,0.580907534,0.388217961,584,13,13.6,14.8285124,0.906672635,0.348623306,0.353485589,259,1,1,NA,0,0,NA,1,42,57,62.59258264,1.018720516,0.384009588,0.272554993,5575,177,283.2413793,296.2854749,1.520085949,0.433439638,0.29367117,5976,96,168.0588235,176.8631773,3.822626038,0.959396653,0.837496588,359,59,78.46153846,89.03502131,2.956163678,0.908794116,0.7249875,467,42,64.66666667,66.79795105,2.631621086,0.882297331,0.704080712,397,3,3,3.75,1.054920168,0.64,0.960229718,5,60,94.5,91.10941075,0.851387567,0.282650947,0.207942335,5308
240,92,-1.2482,0.7033,63.08475,-0.433552083,40.28718952,-0.220379513,-0.818529007,195.0689039,-0.259980423,-0.965613887,91.09465587,480.46,9.62,49.94386694,0.17,678.25,16.05,42.25856698,0.33,62.3,2.27,27.44493392,0.036436597,0.11,566.3636364,2.4,-1.791,0.9388,-1.0526,2.1156,3.5,6,1.747868097,0.816326531,5.444444444,0.975503759,115.4028571,46.15114286,2.634571429,127.4984286,12,1.477985714,0.067471429,43.60737143,0.132735417,0.25118121,0.448934532,-0.128449341,144.6309765,0,0,5.170207204,0,0,0,0,149.8011837,-6,0.965486206,0,6560.232174,80.99526019,6540.768016,80.87501478,19.46415787,4.411820245,0,14.6208,15.3952,0,0,482,792.012987,819.6764124,4.020004967,0.923494066,0.650702708,5976,327,549.2830189,585.7030912,3.506228207,0.858511045,0.60557035,3931,129,202.3333333,202.1540615,2.900719304,0.839872398,0.596878863,1812,43,73.6,63.62104451,2.589373197,0.840392024,0.688443347,392,41,67.25,76.56891323,1.709851768,0.544828407,0.460433172,355,161,249.44,247.9964431,3.770149079,0.952748183,0.741950219,1519,106,151,143.8774658,1.89265743,0.730652642,0.405850144,5976,63,102.4285714,88.49387755,1.590113182,0.624183245,0.383794708,2106,17,18.5,21.75707702,2.207512178,0.838025273,0.779154942,191,11,11.25,13.06060606,1.957353297,0.821398382,0.816279726,91,0,0,NA,0,1,0,0,60,88.5,77.63157183,1.651857523,0.706920674,0.403448586,5728,248,393.4102564,400.7547379,3.016915938,0.873921668,0.547194147,5976,98,179.0526316,198.4882472,3.927541774,0.954172453,0.856612788,267,112,158.8666667,154.308526,2.409219581,0.730601985,0.510590263,2969,70,91,94.02618391,1.988529326,0.660119493,0.468054973,2634,7,9,11,1.846220219,0.826446281,0.94876951,11,79,118.6666667,135.2199945,2.055547701,0.753092667,0.470436488,2937
240,95,-1.7195,-0.3394,63.08475,-0.433552083,40.28718952,-0.220379513,-0.818529007,195.0689039,-0.259980423,-0.965613887,91.09465587,429.59,9.33,46.04394427,0.16,435.41,11.56,37.66522491,0.35,71.99,3.59,20.05292479,0.049868037,0.18,399.9444444,6.62,-1.791,0.9388,0.5539,1.3641,3.67,5,1.560710409,0.777777778,4.5,0.9697239,95.407,40.75183333,2.611333333,118.4868333,8.833333333,1.275616667,0.067183333,38.08593333,0.113316608,0.089796749,-0.257101178,0.367839247,16.10618877,0,0,2.201645025,0,0,0,0,18.3078338,-6,0.879743008,0,2945.409953,54.2716312,2783.107324,52.75516396,19.46415787,4.411820245,0,2.388,2.908,0,0,239,442.5,454.4612092,3.341748951,0.92798016,0.610201989,5976,171,349.0434783,374.0489398,2.771347422,0.865912983,0.538998204,3366,63,84.375,84.91670791,2.436630256,0.839703381,0.588112725,2562,1,1,NA,0,0,NA,1,27,38.14285714,46.87805405,1.420163026,0.650720663,0.430896032,765,70,163.5,137.3947592,2.109634019,0.768579873,0.496560288,2031,112,234.7692308,233.5072373,1.796338984,0.638331158,0.38070137,5976,71,168.5,156.5371894,2.940146825,0.892085799,0.689741409,520,14,32,70.36842105,1.07688038,0.610428032,0.40805494,1390,8,23,NA,0.714196188,0.488845571,0.343455766,1183,3,3.5,6,1.039720771,0.625,0.94639463,4,42,84.75,72.44979254,0.751440474,0.267814331,0.201045183,4067,277,685.3703704,590.3801305,2.636586634,0.752423068,0.468808397,5976,143,465,414.6406196,3.911195096,0.957803423,0.788095415,653,102,180.8333333,162.266854,2.896502608,0.857385348,0.626274516,1249,53,80.14285714,75.18165199,2.125658241,0.760449966,0.53539092,949,12,27,42,2.441015278,0.908163265,0.982336813,14,90,208.25,189.7966885,1.63222948,0.574543506,0.362733004,4500
240,120,-1.846,-1.3619,73.5835,0.258510417,48.80685966,0.845432685,-0.768571624,132.2735597,0.739941617,-0.672671096,67.33787755,465.71,13.02,35.7688172,0.26,433.5,14.42,30.06241331,0.46,110.8,6.03,18.3747927,0.054422383,0.27,410.3703704,6.33,0.4382,2.5939,4.2812,0.2592,3.66,8,2.025326221,0.86,7.142857143,0.973976032,93.4597,33.6841,2.7732,123.2891,10.95,1.27369,0.06309,26.04448,0.116763622,-0.519429323,-0.557032161,-0.370396479,202.0423024,0,0,0.338000099,0,0,0,0,202.3803025,-6,0.998329877,0,6438.445269,80.23992316,5700.982517,75.50485095,710.2567954,26.65064343,0,22.452,22.5196,0,0,370,616.1052632,633.3277437,3.696667958,0.924038972,0.625123206,5976,301,488.3469388,509.5940706,4.047537924,0.95597937,0.709209694,3024,61,133.5,119.3839009,1.875198744,0.728549638,0.456155748,2917,5,6.5,9.5625,1.427061043,0.716049383,0.88668288,9,76,128.5,148.1100284,2.489124447,0.845010318,0.574758188,1341,110,145.6521739,154.9157024,2.770979769,0.861893424,0.589509912,1680,196,315,353.5192113,3.121108239,0.891925466,0.591330132,5976,120,198.1578947,220.7888191,3.192674934,0.909898864,0.666878421,1588,46,73.14285714,85.6009888,1.64982743,0.633197183,0.4309172,2159,22,31.33333333,35.33333333,1.2058012,0.503238163,0.390095322,1832,11,39,34.38461538,1.739281115,0.701545779,0.725336563,29,86,131.7692308,140.9994712,2.276894166,0.763272667,0.511162245,2962,233,386.3571429,418.2080864,2.100338067,0.719777145,0.385309714,5976,140,237.3333333,255.1992549,4.02371773,0.959908224,0.814247043,546,56,74.07142857,88.70529324,3.062011367,0.907595499,0.7606817,342,33,52.42857143,62.71125893,2.858599977,0.90526581,0.817558643,126,15,22,32.5744,2.25796352,0.854338843,0.833796773,44,83,114.0588235,122.270495,1.560617892,0.662970496,0.353173611,5447
240,140,-2.5409,0.1959,88.3325,5.975927083,43.95875988,0.665533726,-0.697808613,136.3561323,0.690173822,-0.723643624,58.79003488,489.38,8.65,56.57572254,0.19,441.68,12.03,36.71487947,0.38,57.41,2.7,21.26296296,0.047030134,0.17,337.7058824,2.84,0.7069,2.0615,-0.2738,0.9885,4.37,11,2.245952081,0.871111111,7.75862069,0.936634767,81.12993333,29.5486,2.796733333,92.47126667,11.53333333,1.206646667,0.059686667,17.77312667,0.078040371,1.408238838,0.663110149,1.878645919,23.73286345,183.6825487,7.739586464,519.4218137,0,0,0,0,726.8372259,-0.597367546,0.03265224,0.252714834,1409.696227,37.54592158,1030.459086,32.10076457,227.6978842,15.0896615,19.394,2.7412,25.9632,7.075003648,0.746980341,275,545.0857143,541.5876069,3.248917037,0.897333701,0.578431448,5976,216,522.7142857,460.3777513,2.985336388,0.87173375,0.555382654,5183,52,65.57142857,76.43164363,1.828431453,0.600111823,0.462748335,741,1,1,NA,0,0,NA,1,37,56.42857143,64.57640065,1.456661745,0.621856175,0.403404835,1561,87,170.1538462,185.5453072,3.672073604,0.95817812,0.822245668,404,82,153.75,169.114213,1.752029479,0.747688713,0.397581371,5976,43,79.14285714,88.72476234,2.975793312,0.92012282,0.791181862,212,21,43,56.6352,0.853437767,0.498786365,0.280319092,3081,13,18,30.11670337,0.8198091,0.494204373,0.319619995,3067,1,1,NA,0,0,NA,1,35,55,63.62442608,1.083360677,0.457299543,0.304712973,2799,289,499.122449,551.9777297,2.783781991,0.80322422,0.491276451,5976,173,283.6756757,325.9746146,4.255853514,0.970130795,0.825851485,662,76,158.3333333,155.4067817,2.410910819,0.800212428,0.556698053,1235,44,68.42857143,72.18742656,1.846973016,0.706075194,0.488076232,1003,12,15.5,20.4,2.425479708,0.906574394,0.97608484,17,109,163.05,188.5329975,1.890545001,0.663058038,0.402985464,4466
240,150,-2.198,1.5295,90.78225,-0.593677083,38.3769653,-0.648872002,-0.454012658,235.0197042,-0.81934921,-0.573294751,51.94218584,477.67,11.22,42.57308378,0.29,449.72,15.91,28.26649906,0.53,64.13,3.24,19.79320988,0.050522376,0.21,305.3809524,10.04,-0.8325,-1.188,2.9124,-0.159,3.54,6,1.695742534,0.8,5,0.946411928,81.5638,31.6812,2.6028,91.9617,6.35,1.14303,0.05676,17.34091,0.059040173,0.13919761,0.723086285,-0.238756758,39.87795754,0,0,4.887450686,0,0,0,0,44.76540823,-6,0.890820817,0,2577.699883,50.77105359,2495.853386,49.95851665,0,0,0,5.884,6.694,0,0,232,353.3333333,390.7326306,2.503509285,0.816848776,0.459634661,5976,175,272.2285714,303.8513333,2.665826596,0.751817064,0.516154321,2552,52,73,79.17913426,0.908824859,0.283356878,0.230009821,1809,0,0,NA,0,1,0,0,39,56.1,64.125,2.559593462,0.865493147,0.698662588,244,69,127.6666667,130.8539739,1.39144698,0.456657588,0.328628243,2086,126,179.4545455,179.7314914,1.673517453,0.567588908,0.346033892,5976,75,126,118.0338346,2.745760164,0.86114317,0.635962414,740,31,44.2,45.26453845,2.299791347,0.812068983,0.669714594,317,15,20,21.32882414,1.090861055,0.402890625,0.402821578,160,3,6,NA,1.098612289,0.666666667,1,3,60,73.90909091,75.75064121,1.35667022,0.513176931,0.331352235,5629,319,580.6875,576.9365271,2.968089418,0.854179211,0.51482932,5976,196,322.9230769,347.7802424,4.172957721,0.950969855,0.790615208,837,88,188.3333333,170.1979724,1.574109114,0.487328538,0.351572638,2542,50,92.75,72.94130005,1.00370309,0.311919233,0.256568811,2186,21,43.75,54.4473251,2.739621826,0.912552052,0.89985273,41,116,216.6470588,219.3292253,2.282877879,0.794570459,0.480242887,3019
240,155,-1.4836,-0.2945,90.78225,-0.593677083,38.3769653,-0.648872002,-0.454012658,235.0197042,-0.81934921,-0.573294751,51.94218584,457.31,10.73,42.61975769,0.29,434.15,11,39.46818182,0.41,74.26,4.36,17.03211009,0.058712631,0.27,275.037037,7.78,-0.8325,-1.188,2.4574,0.0576,3.45,2,0.693147181,0.5,2,1,89.74,30.508,2.9115,117.6315,17.5,1.32845,0.0695,20.40585,0.079129369,-0.140525794,0.138559191,0.153780082,2.24732296,0.955899299,0.425350213,0,0,0,0,0,3.203222259,-0.525173475,0.701581963,0.298418037,239.5258402,15.47662238,239.5258402,15.47662238,0,0,0.1936,0.36,0.5536,0.537777778,0.349710983,350,587.0588235,570.3561433,3.030011138,0.791836523,0.517249183,5976,242,390.1538462,383.6171149,3.805751493,0.93223486,0.693349366,2064,89,191.5,158.5323343,1.425850278,0.481312231,0.317657783,3707,40,211,71.04685444,2.684121196,0.884323556,0.727625077,375,45,87.75,68.67947348,2.748969936,0.888559671,0.72214701,405,100,141,157.6289287,1.13376923,0.35162942,0.24619486,3290,65,102.8,111.5576305,0.726732526,0.223049438,0.174093221,5976,38,80,85.82495117,2.515052085,0.867703215,0.691406876,277,12,15,17.22751323,1.691991532,0.756722287,0.680907483,194,5,6,NA,1.052655151,0.590542099,0.654051419,102,0,0,NA,0,1,0,0,36,47.14285714,54.23681236,0.46578008,0.149905857,0.129978406,5712,248,399.5909091,411.9680394,2.06045328,0.635217409,0.373715409,5976,138,255.4347826,250.6694176,4.204174577,0.967169259,0.85324906,443,82,115,121.5740169,1.000998744,0.336968574,0.227152829,4314,45,53.75,61.04243049,0.75393329,0.28164225,0.198056248,4144,15,30,42.71920387,2.222837713,0.831020408,0.820825889,35,86,143,143.5991008,2.049818283,0.66349443,0.460183759,1426
240,165,-1.3185,-1.0707,90.89875,-10.13580208,31.05082873,0.071963745,-0.597752368,173.1351706,0.119527471,-0.992830894,32.97455515,463.25,9.61,48.2049948,0.14,453.52,12.14,37.35749588,0.35,71.65,3.47,20.64841499,0.048429867,0.19,377.1052632,3.2,-1.1166,1.4412,0.1784,1.4988,3.69,5,1.609437912,0.8,5,1,87.5096,30.6314,2.8688,130.639,11.6,1.31432,0.07132,19.15118,0.091565812,-0.447983765,-0.228285787,-0.700228813,107.2772027,0,0,0,0,0,0,0,107.2772027,-6,1,0,3088.673651,55.57583693,3088.673651,55.57583693,0,0,0,14.0896,14.0896,0,0,276,421.4727273,480.7187482,2.698936075,0.759031272,0.480203484,5976,217,342.0714286,395.4236419,2.435564079,0.71928817,0.452715715,5516,55,71.5,82.50498689,2.215604469,0.670072275,0.552887511,442,1,1,1,0,0,NA,2,32,66.2,73.40540541,2.354260189,0.83852564,0.6792959,211,77,100.25,116.2346535,2.487779804,0.814532662,0.572718978,921,97,187,167.558889,0.997451346,0.351589535,0.218035926,5976,65,145.1428571,125.7218045,3.150671551,0.905757733,0.754762639,337,16,26.5,24.98731707,2.296717797,0.866203791,0.828365844,73,7,10,15.99591837,1.395644432,0.649305556,0.71721936,24,1,1,NA,0,0,NA,1,42,87.33333333,64.72337473,0.74049895,0.299957359,0.198117818,5751,259,462.2,474.5892689,2.936343082,0.890397041,0.528420719,5976,146,244.2758621,267.5949149,3.982249244,0.955739203,0.799069739,589,83,175.625,157.1093077,2.068582185,0.80082267,0.468127812,4081,51,78.2,71.77636228,1.770628933,0.751566433,0.450332517,3581,10,24,38.17094017,2.143952201,0.857142857,0.93110661,14,95,154.3684211,177.0674928,2.307718274,0.820220015,0.506759038,1999
